Date,Category,Description,Amount,Type
2025-05-31,Shopping,Service fee for local grocery store for Q1 2025,24.05,Expense
2025-05-30,Holiday,Christmas presents for kids,183.00,Expense
2025-05-27,Income,Birthday gift money,1698.55,Income
2025-05-26,Entertainment,Purchase from home renovation project automatic de,101.02,Expense
2025-05-26,Holiday,Donation to home renovation project,38.02,Expense
2025-05-24,Transport,Ride to airport,153.42,Expense
2025-05-23,Health,Service fee for health insurance provider with cas,195.71,Expense
2025-05-22,Entertainment,Reimbursement from winter clothing sale early bird,149.27,Expense
2025-05-22,Holiday,Membership at home renovation project,29.38,Expense
2025-05-21,Entertainment,Service fee for charity organization final install,141.78,Expense
2025-05-18,Income,Salary payment,388.70,Income
2025-05-11,Income,Annual subscription to Amazon Prime membership,4896.94,Income
2025-05-10,Income,Service fee for Amazon Prime membership,3931.42,Income
2025-05-10,Food,Weekly grocery shopping,182.56,Expense
2025-05-10,Holiday,New Year's Eve party supplies,82.56,Expense
2025-05-09,Holiday,Christmas presents for kids,19.66,Expense
2025-05-09,Health,Gym membership fee,123.87,Expense
2025-05-07,Holiday,Spring vacation booking,14.40,Expense
2025-05-07,Food,Weekly grocery shopping,152.53,Expense
2025-05-02,Holiday,Investment in Netflix streaming service,72.76,Expense
2025-04-28,Housing,Membership at charity organization,192.45,Expense
2025-04-28,Shopping,Reimbursement from local grocery store with cashba,158.80,Expense
2025-04-27,Housing,Refund for car maintenance center via credit card,80.24,Expense
2025-04-19,Food,Dinner at Italian restaurant,26.64,Expense
2025-04-17,Housing,Plumbing repair service,89.16,Expense
2025-04-17,Transport,Monthly metro pass,45.19,Expense
2025-04-15,Holiday,Investment in summer vacation plan plus service ch,21.09,Expense
2025-04-13,Shopping,Home office supplies,16.72,Expense
2025-04-12,Holiday,Christmas presents for kids,193.60,Expense
2025-04-06,Income,Stock dividends,3442.51,Income
2025-04-03,Income,Freelance project completion,3389.44,Income
2025-04-02,Income,Stock dividends,3615.00,Income
2025-03-28,Housing,Bill payment for Amazon Prime membership,28.89,Expense
2025-03-27,Transport,Car oil change service,114.69,Expense
2025-03-26,Income,Salary payment,4291.19,Income
2025-03-25,Income,Stock dividends,4069.33,Income
2025-03-24,Food,Dinner at Italian restaurant,84.08,Expense
2025-03-21,Transport,Gas station fill-up,192.63,Expense
2025-03-20,Income,Freelance project completion,761.36,Income
2025-03-20,Income,Payment to gym membership renewal,1282.60,Income
2025-03-16,Income,Quarterly bonus,3592.92,Income
2025-03-14,Holiday,New Year's Eve party supplies,40.12,Expense
2025-03-13,Income,Salary payment,3291.29,Income
2025-03-08,Shopping,Reimbursement from Amazon Prime membership via cre,181.21,Expense
2025-03-08,Holiday,New Year's Eve party supplies,33.92,Expense
2025-02-28,Transport,Gas station fill-up,14.46,Expense
2025-02-24,Holiday,Bill payment for health insurance provider urgent ,27.64,Expense
2025-02-21,Entertainment,New video game purchase,22.71,Expense
2025-02-19,Income,Reimbursement from year-end tax payment,4861.30,Income
2025-02-16,Health,Health insurance premium,84.60,Expense
2025-02-16,Holiday,Easter family dinner,95.00,Expense
2025-02-13,Shopping,Monthly payment for winter clothing sale via credi,145.47,Expense
2025-02-13,Holiday,Purchase from winter clothing sale plus service ch,24.63,Expense
2025-02-08,Entertainment,Movie tickets for family,145.09,Expense
2025-02-08,Transport,Car oil change service,162.27,Expense
2025-02-05,Health,Service fee for home renovation project through mo,100.19,Expense
2025-02-02,Holiday,Christmas presents for kids,157.00,Expense
2025-01-31,Housing,Apartment rent payment,195.80,Expense
2025-01-31,Income,Quarterly bonus,1266.38,Income
2025-01-30,Entertainment,Art supplies for hobby,161.83,Expense
2025-01-29,Income,Quarterly bonus,4880.33,Income
2025-01-28,Income,Weekly expense on summer vacation plan including t,1111.21,Income
